Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
1171	887,00	1187,00	417,41	-146,82	12,00	5,65	
1172	955,00	1185,00	449,41	-145,88	17,00	8,00	
1173	1595,00	1187,00	750,59	-146,82	5,00	2,35	
1174	1902,00	1186,00	895,06	-146,35	5,00	2,35	
1175	1320,00	1187,00	621,18	-146,82	6,00	2,82	
1176	2111,00	1187,00	993,41	-146,82	8,00	3,76	
1177	1127,00	1189,00	530,35	-147,76	5,00	2,35	
1178	1197,00	1189,00	563,29	-147,76	8,00	3,76	
1179	1056,00	1190,00	496,94	-148,24	5,00	2,35	
1180	1502,00	1191,00	706,82	-148,71	5,00	2,35	
1181	1048,00	1193,00	493,18	-149,65	5,00	2,35	
1182	1274,00	1195,00	599,53	-150,59	7,00	3,29	
1183	2243,00	1195,00	1055,53	-150,59	5,00	2,35	
1184	1878,00	1197,00	883,76	-151,53	5,00	2,35	
1185	1100,00	1198,00	517,65	-152,00	5,00	2,35	
1186	1171,00	1202,00	551,06	-153,88	5,00	2,35	
1187	2033,00	1200,00	956,71	-152,94	6,00	2,82	
1188	2689,00	1199,00	1265,41	-152,47	12,00	5,65	
1189	2522,00	1200,00	1186,82	-152,94	17,00	8,00	
1190	786,00	1201,00	369,88	-153,41	8,00	3,76	
1191	2521,00	1202,00	1186,35	-153,88	17,00	8,00	
1192	1140,00	1203,00	536,47	-154,35	6,00	2,82	
1193	768,00	1206,00	361,41	-155,76	12,00	5,65	
1194	968,00	1206,00	455,53	-155,76	11,00	5,18	
1195	2520,00	1206,00	1185,88	-155,76	17,00	8,00	
1196	1159,00	1209,00	545,41	-157,18	6,00	2,82	
1197	1301,00	1210,00	612,24	-157,65	6,00	2,82	
1198	2109,00	1210,00	992,47	-157,65	15,00	7,06	
1199	1149,00	1210,00	540,71	-157,65	6,00	2,82	
1200	2489,00	1210,00	1171,29	-157,65	13,00	6,12	
1201	2328,00	1212,00	1095,53	-158,59	5,00	2,35	
1202	754,00	1214,00	354,82	-159,53	11,00	5,18	
1203	753,00	1216,00	354,35	-160,47	11,00	5,18	
1204	874,00	1216,00	411,29	-160,47	5,00	2,35	
1205	2340,00	1216,00	1101,18	-160,47	6,00	2,82	
1206	1256,00	1217,00	591,06	-160,94	5,00	2,35	
1207	2252,00	1217,00	1059,76	-160,94	5,00	2,35	
1208	848,00	1219,00	399,06	-161,88	6,00	2,82	
1209	2010,00	1218,00	945,88	-161,41	6,00	2,82	
1210	2499,00	1219,00	1176,00	-161,88	15,00	7,06	
1211	1516,00	1220,00	713,41	-162,35	5,00	2,35	
1212	2059,00	1220,00	968,94	-162,35	6,00	2,82	
1213	894,00	1222,00	420,71	-163,29	7,00	3,29	
1214	1257,00	1222,00	591,53	-163,29	5,00	2,35	
1215	2042,00	1225,00	960,94	-164,71	9,00	4,24	
1216	1520,00	1228,00	715,29	-166,12	5,00	2,35	
1217	1551,00	1227,00	729,88	-165,65	5,00	2,35	
