Создан как новый массив данных;Образец 013 полученный BalashovM Дата четверг, апреля 20 2023
cm-1;A
2791,00;0,0141
2790,00;0,0140
2789,00;0,0138
2788,00;0,0137
2787,00;0,0135
2786,00;0,0134
2785,00;0,0133
2784,00;0,0132
2783,00;0,0131
2782,00;0,0129
2781,00;0,0127
2780,00;0,0126
2779,00;0,0125
2778,00;0,0124
2777,00;0,0123
2776,00;0,0122
2775,00;0,0121
2774,00;0,0121
2773,00;0,0120
2772,00;0,0119
2771,00;0,0119
2770,00;0,0118
2769,00;0,0117
2768,00;0,0117
2767,00;0,0116
2766,00;0,0116
2765,00;0,0116
2764,00;0,0116
2763,00;0,0115
2762,00;0,0115
2761,00;0,0115
2760,00;0,0114
2759,00;0,0114
2758,00;0,0114
2757,00;0,0114
2756,00;0,0113
2755,00;0,0113
2754,00;0,0112
2753,00;0,0112
2752,00;0,0112
2751,00;0,0112
2750,00;0,0112
2749,00;0,0111
2748,00;0,0112
2747,00;0,0112
2746,00;0,0112
2745,00;0,0112
2744,00;0,0112
2743,00;0,0112
2742,00;0,0112
2741,00;0,0112
2740,00;0,0112
2739,00;0,0112
2738,00;0,0112
2737,00;0,0112
2736,00;0,0112
2735,00;0,0112
2734,00;0,0112
2733,00;0,0112
2732,00;0,0112
2731,00;0,0112
2730,00;0,0112
2729,00;0,0111
2728,00;0,0111
2727,00;0,0111
2726,00;0,0111
2725,00;0,0110
2724,00;0,0110
2723,00;0,0110
2722,00;0,0109
2721,00;0,0109
2720,00;0,0109
2719,00;0,0109
2718,00;0,0108
2717,00;0,0108
2716,00;0,0108
2715,00;0,0108
2714,00;0,0107
2713,00;0,0107
2712,00;0,0107
2711,00;0,0107
2710,00;0,0107
2709,00;0,0107
2708,00;0,0106
2707,00;0,0106
2706,00;0,0106
2705,00;0,0106
2704,00;0,0106
2703,00;0,0106
2702,00;0,0106
2701,00;0,0106
2700,00;0,0107
2699,00;0,0107
2698,00;0,0107
2697,00;0,0108
2696,00;0,0108
2695,00;0,0108
2694,00;0,0108
2693,00;0,0109
2692,00;0,0109
2691,00;0,0110
2690,00;0,0111
2689,00;0,0111
2688,00;0,0112
2687,00;0,0112
2686,00;0,0112
2685,00;0,0113
2684,00;0,0113
2683,00;0,0113
2682,00;0,0113
2681,00;0,0113
2680,00;0,0113
2679,00;0,0114
2678,00;0,0114
2677,00;0,0114
2676,00;0,0115
2675,00;0,0115
2674,00;0,0115
2673,00;0,0114
2672,00;0,0114
2671,00;0,0114
2670,00;0,0114
2669,00;0,0114
2668,00;0,0113
2667,00;0,0113
2666,00;0,0113
2665,00;0,0112
2664,00;0,0112
2663,00;0,0111
2662,00;0,0111
2661,00;0,0110
2660,00;0,0109
2659,00;0,0109
2658,00;0,0109
2657,00;0,0108
2656,00;0,0108
2655,00;0,0107
2654,00;0,0107
2653,00;0,0106
2652,00;0,0106
2651,00;0,0106
2650,00;0,0106
2649,00;0,0105
2648,00;0,0105
2647,00;0,0105
2646,00;0,0104
2645,00;0,0104
2644,00;0,0104
2643,00;0,0103
2642,00;0,0103
2641,00;0,0102
2640,00;0,0102
2639,00;0,0102
2638,00;0,0101
2637,00;0,0101
2636,00;0,0101
2635,00;0,0101
2634,00;0,0101
2633,00;0,0100
2632,00;0,0100
2631,00;0,0099
2630,00;0,0099
2629,00;0,0098
2628,00;0,0098
2627,00;0,0098
2626,00;0,0098
