Создан как новый массив данных;Образец 001 полученный BalashovM Дата вторник, ноября 16 2021
cm-1;A
3211,00;0,0455
3210,00;0,0455
3209,00;0,0455
3208,00;0,0455
3207,00;0,0455
3206,00;0,0455
3205,00;0,0455
3204,00;0,0455
3203,00;0,0455
3202,00;0,0455
3201,00;0,0455
3200,00;0,0455
3199,00;0,0456
3198,00;0,0456
3197,00;0,0456
3196,00;0,0456
3195,00;0,0456
3194,00;0,0456
3193,00;0,0456
3192,00;0,0456
3191,00;0,0456
3190,00;0,0456
3189,00;0,0456
3188,00;0,0456
3187,00;0,0456
3186,00;0,0456
3185,00;0,0456
3184,00;0,0456
3183,00;0,0456
3182,00;0,0456
3181,00;0,0456
3180,00;0,0456
3179,00;0,0456
3178,00;0,0456
3177,00;0,0456
3176,00;0,0456
3175,00;0,0456
3174,00;0,0456
3173,00;0,0457
3172,00;0,0457
3171,00;0,0457
3170,00;0,0457
3169,00;0,0457
3168,00;0,0457
3167,00;0,0457
3166,00;0,0457
3165,00;0,0457
3164,00;0,0457
3163,00;0,0457
3162,00;0,0457
3161,00;0,0457
3160,00;0,0457
3159,00;0,0457
3158,00;0,0457
3157,00;0,0457
3156,00;0,0457
3155,00;0,0457
3154,00;0,0457
3153,00;0,0457
3152,00;0,0457
3151,00;0,0457
3150,00;0,0457
3149,00;0,0457
3148,00;0,0457
3147,00;0,0457
3146,00;0,0457
3145,00;0,0457
3144,00;0,0457
3143,00;0,0457
3142,00;0,0457
3141,00;0,0457
3140,00;0,0457
3139,00;0,0457
3138,00;0,0457
3137,00;0,0457
3136,00;0,0458
3135,00;0,0458
3134,00;0,0458
3133,00;0,0458
3132,00;0,0458
3131,00;0,0458
3130,00;0,0458
3129,00;0,0458
3128,00;0,0458
3127,00;0,0458
3126,00;0,0458
3125,00;0,0458
3124,00;0,0458
3123,00;0,0458
3122,00;0,0458
3121,00;0,0457
3120,00;0,0457
3119,00;0,0457
3118,00;0,0457
3117,00;0,0457
3116,00;0,0457
3115,00;0,0457
3114,00;0,0457
3113,00;0,0457
3112,00;0,0457
3111,00;0,0458
3110,00;0,0458
3109,00;0,0458
3108,00;0,0458
3107,00;0,0458
3106,00;0,0458
3105,00;0,0458
3104,00;0,0458
3103,00;0,0458
3102,00;0,0458
3101,00;0,0458
3100,00;0,0458
3099,00;0,0458
3098,00;0,0458
3097,00;0,0458
3096,00;0,0458
3095,00;0,0458
3094,00;0,0458
3093,00;0,0458
3092,00;0,0458
3091,00;0,0458
3090,00;0,0458
3089,00;0,0458
3088,00;0,0458
3087,00;0,0458
3086,00;0,0458
3085,00;0,0458
3084,00;0,0458
3083,00;0,0458
3082,00;0,0458
3081,00;0,0458
3080,00;0,0458
3079,00;0,0458
3078,00;0,0458
3077,00;0,0458
3076,00;0,0458
3075,00;0,0459
3074,00;0,0459
3073,00;0,0459
3072,00;0,0459
3071,00;0,0459
3070,00;0,0459
3069,00;0,0459
3068,00;0,0459
3067,00;0,0459
3066,00;0,0459
3065,00;0,0459
3064,00;0,0459
3063,00;0,0459
3062,00;0,0459
3061,00;0,0459
3060,00;0,0459
3059,00;0,0459
3058,00;0,0459
3057,00;0,0459
3056,00;0,0459
3055,00;0,0459
3054,00;0,0459
3053,00;0,0459
3052,00;0,0459
3051,00;0,0459
3050,00;0,0459
3049,00;0,0459
3048,00;0,0459
3047,00;0,0459
3046,00;0,0459
3045,00;0,0459
3044,00;0,0459
3043,00;0,0459
3042,00;0,0460
3041,00;0,0460
3040,00;0,0460
3039,00;0,0460
3038,00;0,0460
3037,00;0,0460
3036,00;0,0460
3035,00;0,0460
3034,00;0,0460
3033,00;0,0460
3032,00;0,0460
3031,00;0,0460
3030,00;0,0461
3029,00;0,0461
3028,00;0,0461
3027,00;0,0461
3026,00;0,0461
3025,00;0,0461
3024,00;0,0461
3023,00;0,0461
3022,00;0,0461
3021,00;0,0461
3020,00;0,0461
3019,00;0,0461
3018,00;0,0461
3017,00;0,0460
3016,00;0,0460
3015,00;0,0460
3014,00;0,0460
3013,00;0,0460
3012,00;0,0460
3011,00;0,0460
3010,00;0,0460
3009,00;0,0461
3008,00;0,0461
3007,00;0,0462
3006,00;0,0462
3005,00;0,0462
3004,00;0,0462
3003,00;0,0462
3002,00;0,0462
3001,00;0,0462
3000,00;0,0462
2999,00;0,0462
2998,00;0,0462
2997,00;0,0462
2996,00;0,0462
2995,00;0,0461
2994,00;0,0461
2993,00;0,0461
2992,00;0,0462
2991,00;0,0462
2990,00;0,0461
2989,00;0,0461
2988,00;0,0461
2987,00;0,0461
2986,00;0,0461
2985,00;0,0460
2984,00;0,0460
2983,00;0,0460
2982,00;0,0459
2981,00;0,0459
2980,00;0,0459
2979,00;0,0458
2978,00;0,0458
2977,00;0,0458
2976,00;0,0457
2975,00;0,0457
2974,00;0,0456
2973,00;0,0456
2972,00;0,0456
2971,00;0,0455
2970,00;0,0454
2969,00;0,0453
2968,00;0,0452
2967,00;0,0451
2966,00;0,0450
2965,00;0,0450
2964,00;0,0449
2963,00;0,0448
2962,00;0,0448
2961,00;0,0447
2960,00;0,0447
2959,00;0,0447
2958,00;0,0446
2957,00;0,0446
2956,00;0,0446
2955,00;0,0446
2954,00;0,0446
2953,00;0,0446
2952,00;0,0447
2951,00;0,0447
2950,00;0,0447
2949,00;0,0447
2948,00;0,0447
2947,00;0,0446
2946,00;0,0446
2945,00;0,0446
2944,00;0,0446
2943,00;0,0445
2942,00;0,0444
2941,00;0,0443
2940,00;0,0443
2939,00;0,0442
2938,00;0,0441
2937,00;0,0440
2936,00;0,0439
2935,00;0,0438
2934,00;0,0437
2933,00;0,0436
2932,00;0,0435
2931,00;0,0434
2930,00;0,0433
2929,00;0,0433
2928,00;0,0433
2927,00;0,0433
2926,00;0,0433
2925,00;0,0434
2924,00;0,0435
2923,00;0,0436
2922,00;0,0437
2921,00;0,0439
2920,00;0,0440
2919,00;0,0442
2918,00;0,0443
2917,00;0,0445
2916,00;0,0446
2915,00;0,0447
2914,00;0,0448
2913,00;0,0449
2912,00;0,0450
2911,00;0,0450
2910,00;0,0451
2909,00;0,0452
2908,00;0,0452
2907,00;0,0452
2906,00;0,0453
2905,00;0,0454
2904,00;0,0455
2903,00;0,0455
2902,00;0,0456
2901,00;0,0456
2900,00;0,0456
2899,00;0,0456
2898,00;0,0456
2897,00;0,0456
2896,00;0,0457
2895,00;0,0457
2894,00;0,0458
2893,00;0,0458
2892,00;0,0459
2891,00;0,0459
2890,00;0,0459
2889,00;0,0459
2888,00;0,0460
2887,00;0,0460
2886,00;0,0460
2885,00;0,0460
2884,00;0,0460
2883,00;0,0460
2882,00;0,0459
2881,00;0,0459
2880,00;0,0458
2879,00;0,0458
2878,00;0,0458
2877,00;0,0457
2876,00;0,0457
2875,00;0,0456
2874,00;0,0456
2873,00;0,0455
2872,00;0,0455
2871,00;0,0456
2870,00;0,0456
2869,00;0,0456
2868,00;0,0456
2867,00;0,0455
2866,00;0,0455
2865,00;0,0455
2864,00;0,0455
2863,00;0,0455
2862,00;0,0454
2861,00;0,0453
2860,00;0,0452
2859,00;0,0452
2858,00;0,0451
2857,00;0,0451
2856,00;0,0451
2855,00;0,0451
2854,00;0,0452
2853,00;0,0453
2852,00;0,0454
2851,00;0,0455
2850,00;0,0456
2849,00;0,0457
2848,00;0,0458
2847,00;0,0459
2846,00;0,0460
2845,00;0,0461
2844,00;0,0462
2843,00;0,0462
2842,00;0,0463
2841,00;0,0463
2840,00;0,0463
2839,00;0,0463
2838,00;0,0464
2837,00;0,0464
2836,00;0,0465
2835,00;0,0465
2834,00;0,0465
2833,00;0,0466
2832,00;0,0466
2831,00;0,0466
2830,00;0,0466
2829,00;0,0466
2828,00;0,0466
2827,00;0,0466
2826,00;0,0466
2825,00;0,0466
2824,00;0,0466
2823,00;0,0466
2822,00;0,0467
2821,00;0,0467
2820,00;0,0467
2819,00;0,0467
2818,00;0,0467
2817,00;0,0467
2816,00;0,0467
2815,00;0,0467
2814,00;0,0467
2813,00;0,0467
2812,00;0,0466
2811,00;0,0466
2810,00;0,0466
2809,00;0,0466
2808,00;0,0466
2807,00;0,0466
2806,00;0,0466
2805,00;0,0467
2804,00;0,0467
2803,00;0,0467
2802,00;0,0467
2801,00;0,0467
2800,00;0,0467
2799,00;0,0467
2798,00;0,0467
2797,00;0,0467
2796,00;0,0467
2795,00;0,0467
2794,00;0,0467
2793,00;0,0467
2792,00;0,0467
2791,00;0,0467
2790,00;0,0467
2789,00;0,0467
2788,00;0,0467
2787,00;0,0467
2786,00;0,0467
2785,00;0,0467
2784,00;0,0467
2783,00;0,0467
2782,00;0,0467
2781,00;0,0467
2780,00;0,0467
2779,00;0,0467
2778,00;0,0467
2777,00;0,0467
2776,00;0,0467
2775,00;0,0467
2774,00;0,0467
2773,00;0,0467
2772,00;0,0467
2771,00;0,0467
2770,00;0,0467
2769,00;0,0467
2768,00;0,0467
2767,00;0,0467
2766,00;0,0467
2765,00;0,0467
2764,00;0,0467
2763,00;0,0467
2762,00;0,0467
2761,00;0,0467
2760,00;0,0467
2759,00;0,0467
2758,00;0,0467
2757,00;0,0467
2756,00;0,0467
2755,00;0,0467
2754,00;0,0467
2753,00;0,0467
2752,00;0,0467
2751,00;0,0467
2750,00;0,0467
2749,00;0,0467
2748,00;0,0467
2747,00;0,0467
2746,00;0,0467
2745,00;0,0467
2744,00;0,0467
2743,00;0,0467
2742,00;0,0467
2741,00;0,0467
2740,00;0,0467
2739,00;0,0467
